id,sequence,code,name,report_name,internal_type,l10n_do_ncf_type,doc_code_prefix,country_id/id,is_vat_required,active
ecf_fiscal_client,160,E,Crédito Fiscal Electrónica,Factura de Crédito Fiscal Electrónica,invoice,e-fiscal,E31,base.do,True,TRUE
ecf_consumer_supplier,170,E,Consumo Electrónica,Factura de Consumo Electrónica,invoice,e-consumer,E32,base.do,False,TRUE
ecf_debit_note_client,180,E,Nota de Débito Electrónica,Nota de Débito Electrónica,debit_note,e-debit_note,E33,base.do,True,TRUE
ecf_credit_note_client,190,E,Nota de Crédito Electrónica,Nota de Crédito Electrónica,credit_note,e-credit_note,E34,base.do,False,TRUE
ecf_informal_supplier,200,E,Compras Electrónica,Factura de Compra Electrónica,invoice,e-informal,E41,base.do,True,TRUE
ecf_minor_supplier,220,E,Gasto Menor Electrónica,Factura Gasto Menor Electrónica,invoice,e-minor,E43,base.do,False,TRUE
ecf_special_client,230,E,Régimen Especial Electrónica,Factura de Régimen Especial Electrónica,invoice,e-special,E44,base.do,True,TRUE
ecf_gov_client,240,E,Factura Gubernamental Electrónica,Factura Gubernamental Electrónica,invoice,e-governmental,E45,base.do,True,TRUE
ecf_export_client,250,E,Exportación Electrónica,Factura de Exportación Electrónica,invoice,e-export,E46,base.do,True,TRUE
ecf_exterior_supplier,260,E,Pago al Exterior Electrónica,Factura de Pago al Exterior Electrónica,invoice,e-exterior,E47,base.do,False,TRUE
